name,slug,description,price,cost_price,category_slug,image_url,barcode,plu,sku,stock_quantity,low_stock_threshold,tax_rate,is_active
AUTOMOTIVE:CAR ACCESSORIES:LITTLE TREES BLACK ICE 24 CT,automotive-car-accessories-little-trees-black-ice-24-ct,,15.5,13.68,automotive-car-accessories-little-trees-black-ice-24-ct,,1E+11,,3.00762E+13,-14,5,0,1
AUTOMOTIVE:CAR ACCESSORIES:LITTLE TREES CAR FRESHENER 3.5 OZ SPRAY CARIBBEAN COLADA 24 CT,automotive-car-accessories-little-trees-car-freshener-35-oz-spray-caribbean-colada-24-ct,,41.99,35.04,automotive-car-accessories-little-trees-car-freshener-35-oz-spray-caribbean-colada-24-ct,,1E+11,,,0,5,0,1
AUTOMOTIVE:CAR ACCESSORIES:LITTLE TREES NEW CAR SCENT 24 PCS,automotive-car-accessories-little-trees-new-car-scent-24-pcs,,15.5,13.68,automotive-car-accessories-little-trees-new-car-scent-24-pcs,,1E+11,,3.00762E+13,-4,5,0,1
AUTOMOTIVE:GAS CAN:GAS CAN 2 GALLON BRIGGS 1CT,automotive-gas-can-gas-can-2-gallon-briggs-1ct,,8.99,7.25,automotive-gas-can-gas-can-2-gallon-briggs-1ct,,1E+11,,060534840237,-43,5,0,1
AVEENO BODY LOTION 2.5 OZ DAILY MOISTURIZING,aveeno-body-lotion-25-oz-daily-moisturizing,,3.49,2.88,general-general,,1E+11,,,0,5,0,1
BAND-AID BANDAGE 8 CT TRAVEL PACK 12 CT,band-aid-bandage-8-ct-travel-pack-12-ct,,9.99,8.04,general-general,,1E+11,,,-2,5,0,1
BAYER PAIN RELIEF 2 CT TAB BOX  25 CT,bayer-pain-relief-2-ct-tab-box-25-ct,,6.49,5.5,general-general,,1E+11,,6.55708E+11,0,5,0,1
BENADRYL ALLERGY RELIEF 24 TAB 1 CT,benadryl-allergy-relief-24-tab-1-ct,,6.99,5.36,general-general,,1E+11,,3.12547E+11,0,5,0,1
BLACK BULL EXTREME DON'T QUIT 12 CT,black-bull-extreme-dont-quit-12-ct,,7.99,4.75,general-general,,1E+11,,7.86469E+11,-1,5,0,1
BLISTEX LIP OINTMENT 0.21 OZ 1 CT (04802),blistex-lip-ointment-021-oz-1-ct-04802,,1.99,1.71,general-general,,1E+11,,041388210216,0,5,0,1
BOOSTER CABLES 250 AMP SIMPLY 1CT,booster-cables-250-amp-simply-1ct,,3.99,3.25,general-general,,1E+11,,8.4018E+11,-11,5,0,1
BOOSTER CABLES 300 AMP SIMPLY 1CT,booster-cables-300-amp-simply-1ct,,4.75,3.43,general-general,,1E+11,,8.4018E+11,0,5,0,1
BUTTERFINGER SHARE SIZE BAR 18CT,butterfinger-share-size-bar-18ct,,31.99,29.99,general-general,,1E+11,,099900100781,-2,5,0,1
CANDY & SNACKS:CANDY:3 MUSKETEERS 36 CT,candy-snacks-candy-3-musketeers-36-ct,,36.99,32,candy-snacks-candy-3-musketeers-36-ct,,1E+11,,040000522089,-1,5,0,1
CANDY & SNACKS:CANDY:ALMOND JOY 24 CT,candy-snacks-candy-almond-joy-24-ct,,23.99,20,candy-snacks-candy-almond-joy-24-ct,,1E+11,,034000018161,0,5,0,1
CANDY & SNACKS:CANDY:ALMONDJOY KING SIZE 3.22 OZ 18CT,candy-snacks-candy-almondjoy-king-size-322-oz-18ct,,29.99,28.96,candy-snacks-candy-almondjoy-king-size-322-oz-18ct,,1E+11,,034000052202,0,5,0,1
CANDY & SNACKS:CANDY:ANDY CAPPS HOT FRIES 12 CT,candy-snacks-candy-andy-capps-hot-fries-12-ct,,12.99,0,candy-snacks-candy-andy-capps-hot-fries-12-ct,,1E+11,,2.00262E+13,-1,5,0,1
CANDY & SNACKS:CANDY:SNICKERS ALMOND 24 CT,candy-snacks-candy-snickers-almond-24-ct,,23.99,20,candy-snacks-candy-snickers-almond-24-ct,,1E+11,,040000011057,0,5,0,1
CANDY & SNACKS:CANDY:SNICKERS ALMOND SHARE SIZE 24 CT,candy-snacks-candy-snickers-almond-share-size-24-ct,,44.99,0,candy-snacks-candy-snickers-almond-share-size-24-ct,,1E+11,,040000322474,0,5,0,1
CANDY & SNACKS:CANDY:SNICKERS BAR SINGLES 1.86OZ  8/48CT,candy-snacks-candy-snickers-bar-singles-186oz-848ct,,49.99,43,candy-snacks-candy-snickers-bar-singles-186oz-848ct,,1E+11,,040000514268,1,5,0,1
CANDY & SNACKS:CANDY:SNICKERS KING SIZE BAR 3.3 OZ 24 CT,candy-snacks-candy-snickers-king-size-bar-33-oz-24-ct,,38.99,33,candy-snacks-candy-snickers-king-size-bar-33-oz-24-ct,,1E+11,,040000322528,-3,5,0,1
CANDY & SNACKS:CANDY:SNICKERS PECAN 24 CT,candy-snacks-candy-snickers-pecan-24-ct,,33.99,28,candy-snacks-candy-snickers-pecan-24-ct,,1E+11,,040000595496,0,5,0,1
CANDY & SNACKS:CHIPS:CHEEZ IT CHEDDAR JACK 3 OZ 6 CT,candy-snacks-chips-cheez-it-cheddar-jack-3-oz-6-ct,,6.99,0,candy-snacks-chips-cheez-it-cheddar-jack-3-oz-6-ct,,1E+11,,024100203611,-3,5,0,1
CANDY & SNACKS:CHIPS:PRINGLES BBQ FLAVOUR 2.5 OZ,candy-snacks-chips-pringles-bbq-flavour-25-oz,,1.1,0,candy-snacks-chips-pringles-bbq-flavour-25-oz,,1E+11,,038000183690,-11,5,0,1
CANDY & SNACKS:CHIPS:PRINGLES LARGE BBQ 5.5 OZ 1 CT,candy-snacks-chips-pringles-large-bbq-55-oz-1-ct,,1.92,1.64285,candy-snacks-chips-pringles-large-bbq-55-oz-1-ct,,1E+11,,038000183713,32,5,0,1
CANDY & SNACKS:CHIPS:PRINGLES LARGE CHEDDAR CHEESE 5.5 OZ 1 CT,candy-snacks-chips-pringles-large-cheddar-cheese-55-oz-1-ct,,1.92,1.6428,candy-snacks-chips-pringles-large-cheddar-cheese-55-oz-1-ct,,1E+11,,038000138577,70,5,0,1
CANDY & SNACKS:CHIPS:PRINGLES LARGE CHEDDER & SOUR CREAME 5.50Z 1CT,candy-snacks-chips-pringles-large-chedder-sour-creame-550z-1ct,,1.92,1.71,candy-snacks-chips-pringles-large-chedder-sour-creame-550z-1ct,,1E+11,,038000138973,-27,5,0,1
CANDY & SNACKS:CHIPS:PRINGLES LARGE ORIGINAL 5.5 OZ 1 CT,candy-snacks-chips-pringles-large-original-55-oz-1-ct,,1.92,1.64285,candy-snacks-chips-pringles-large-original-55-oz-1-ct,,1E+11,,038000138416,32,5,0,1
CANDY & SNACKS:CHIPS:PRINGLES LARGE PIZZA  5.5 OZ 1 CT,candy-snacks-chips-pringles-large-pizza-55-oz-1-ct,,1.92,1.64285,candy-snacks-chips-pringles-large-pizza-55-oz-1-ct,,1E+11,,038000138638,8,5,0,1
CANDY & SNACKS:CHIPS:PRINGLES LARGE RANCH 14/5.5OZ,candy-snacks-chips-pringles-large-ranch-1455oz,,0.99,0.71,candy-snacks-chips-pringles-large-ranch-1455oz,,1E+11,,038000138720,-13,5,0,1
CANDY & SNACKS:CHIPS:PRINGLES LARGE SALT & VINAGER 5.50Z 1CT,candy-snacks-chips-pringles-large-salt-vinager-550z-1ct,,1.92,1.71,candy-snacks-chips-pringles-large-salt-vinager-550z-1ct,,1E+11,,038000138607,-13,5,0,1
CANDY & SNACKS:CHIPS:PRINGLES LARGE SOUR CREAM & ONION  5.5 OZ 1 CT,candy-snacks-chips-pringles-large-sour-cream-onion-55-oz-1-ct,,1.92,1.64285,candy-snacks-chips-pringles-large-sour-cream-onion-55-oz-1-ct,,1E+11,,038000138430,16,5,0,1
CANDY & SNACKS:CHIPS:PRINGLES MEDIUM ORIGINAL 2.5 OZ 1 CT,candy-snacks-chips-pringles-medium-original-25-oz-1-ct,,1.1,0.875,candy-snacks-chips-pringles-medium-original-25-oz-1-ct,,1E+11,,038000845246,-19,5,0,1
CANDY & SNACKS:CHIPS:PRINGLES MEDIUM PIZZA 2.5 OZ 1 CT,candy-snacks-chips-pringles-medium-pizza-25-oz-1-ct,,1.1,0,candy-snacks-chips-pringles-medium-pizza-25-oz-1-ct,,1E+11,,038000169113,-11,5,0,1
CANDY & SNACKS:CHIPS:PRINGLES MEDIUM SOUR CREAM ONION 2.5 OZ 1 CT,candy-snacks-chips-pringles-medium-sour-cream-onion-25-oz-1-ct,,1.1,0.875,candy-snacks-chips-pringles-medium-sour-cream-onion-25-oz-1-ct,,1E+11,,038000845253,-23,5,0,1
CANDY & SNACKS:CHIPS:PRINGLES SMALL CHEDDAR CHEESE 1.4 OZ 12 CT,candy-snacks-chips-pringles-small-cheddar-cheese-14-oz-12-ct,,8.99,7,candy-snacks-chips-pringles-small-cheddar-cheese-14-oz-12-ct,,1E+11,,00038000845567,-3,5,0,1
CANDY & SNACKS:CHIPS:PRINGLES SMALL ORIGINAL 1.4 OZ 12 CT,candy-snacks-chips-pringles-small-original-14-oz-12-ct,,8.99,7,candy-snacks-chips-pringles-small-original-14-oz-12-ct,,1E+11,,00038000845574,-2,5,0,1
CANDY & SNACKS:CHIPS:PRINGLES SMALL SOUR CREM & ONION 1.4 OZ 12 CT,candy-snacks-chips-pringles-small-sour-crem-onion-14-oz-12-ct,,8.99,7,candy-snacks-chips-pringles-small-sour-crem-onion-14-oz-12-ct,,1E+11,,00038000845550,-4,5,0,1
CANDY & SNACKS:CHIPS:TAKIS ORIGINAL 3.25 OZ 20 CT,candy-snacks-chips-takis-original-325-oz-20-ct,,33.99,0,candy-snacks-chips-takis-original-325-oz-20-ct,,1E+11,,1.07575E+13,-1,5,0,1
CANDY & SNACKS:GUM:5 GUM ASCENT 15 STICK 10 CT,candy-snacks-gum-5-gum-ascent-15-stick-10-ct,,13.99,12,candy-snacks-gum-5-gum-ascent-15-stick-10-ct,,1E+11,,064900427039,-2,5,0,1
CANDY & SNACKS:GUM:5 GUM COBALT 15 STICK 10 CT,candy-snacks-gum-5-gum-cobalt-15-stick-10-ct,,13.99,12,candy-snacks-gum-5-gum-cobalt-15-stick-10-ct,,1E+11,,022000105066,9,5,0,1
CANDY & SNACKS:GUM:5 GUM RAIN 15 STICK 10 CT,candy-snacks-gum-5-gum-rain-15-stick-10-ct,,13.99,12,candy-snacks-gum-5-gum-rain-15-stick-10-ct,,1E+11,,022000105080,11,5,0,1
CANDY & SNACKS:GUM:5 GUM REACT MINT 10CT,candy-snacks-gum-5-gum-react-mint-10ct,,13.99,15.5,candy-snacks-gum-5-gum-react-mint-10ct,,1E+11,,022000117038,0,5,0,1
CANDY & SNACKS:GUM:5 GUM RPM MINT 10CT,candy-snacks-gum-5-gum-rpm-mint-10ct,,13.99,15.5,candy-snacks-gum-5-gum-rpm-mint-10ct,,1E+11,,022000121936,0,5,0,1
CANDY & SNACKS:GUM:5 GUM STRAWBERRY 10CT,candy-snacks-gum-5-gum-strawberry-10ct,,13.99,15.5,candy-snacks-gum-5-gum-strawberry-10ct,,1E+11,,022000110459,-1,5,0,1
CANDY & SNACKS:GUM:5 GUM WATERMELLON 10 CT,candy-snacks-gum-5-gum-watermellon-10-ct,,13.99,12,candy-snacks-gum-5-gum-watermellon-10-ct,,1E+11,,022000116031,0,5,0,1
CANDY & SNACKS:GUM:EXTRA GUM 15 PCS SWEET WATERMELON 10 CT,candy-snacks-gum-extra-gum-15-pcs-sweet-watermelon-10-ct,,10.99,10,candy-snacks-gum-extra-gum-15-pcs-sweet-watermelon-10-ct,,1E+11,,022000159519,10,5,0,1
CANDY & SNACKS:GUM:EXTRA GUM PEPPERMINT SLIM PACK 10 CT,candy-snacks-gum-extra-gum-peppermint-slim-pack-10-ct,,10.99,10,candy-snacks-gum-extra-gum-peppermint-slim-pack-10-ct,,1E+11,,022000159526,6,5,0,1
CANDY & SNACKS:GUM:EXTRA GUM POLAR ICE SLIM PACK 10 CT,candy-snacks-gum-extra-gum-polar-ice-slim-pack-10-ct,,10.99,10,candy-snacks-gum-extra-gum-polar-ice-slim-pack-10-ct,,1E+11,,022000159533,9,5,0,1
CANDY & SNACKS:GUM:EXTRA GUM SPEARMINT 10 CT,candy-snacks-gum-extra-gum-spearmint-10-ct,,10.99,10,candy-snacks-gum-extra-gum-spearmint-10-ct,,1E+11,,022000159540,5,5,0,1
CANDY & SNACKS:GUM:NERDS GUMMY CLUSTERS VERY BERY SHARE SIZE 30Z 12CT,candy-snacks-gum-nerds-gummy-clusters-very-bery-share-size-30z-12ct,,21.49,0,candy-snacks-gum-nerds-gummy-clusters-very-bery-share-size-30z-12ct,,1E+11,,079200160692,0,5,0,1
CANDY & SNACKS:GUM:ORBIT GUM BUBBLEMINT 12 CT,candy-snacks-gum-orbit-gum-bubblemint-12-ct,,12.99,11,candy-snacks-gum-orbit-gum-bubblemint-12-ct,,1E+11,,022000114891,-2,5,0,1
CANDY & SNACKS:GUM:ORBIT GUM PEPPERMINT 12 CT,candy-snacks-gum-orbit-gum-peppermint-12-ct,,12.99,11,candy-snacks-gum-orbit-gum-peppermint-12-ct,,1E+11,,022000114860,-4,5,0,1
CANDY & SNACKS:GUM:ORBIT GUM SWEETMINT 12 CT,candy-snacks-gum-orbit-gum-sweetmint-12-ct,,12.99,11,candy-snacks-gum-orbit-gum-sweetmint-12-ct,,1E+11,,022000114839,-1,5,0,1
CANDY & SNACKS:GUM:ORBIT GUM WINTERGREEN 12 CT,candy-snacks-gum-orbit-gum-wintergreen-12-ct,,12.99,11,candy-snacks-gum-orbit-gum-wintergreen-12-ct,,1E+11,,022000114884,0,5,0,1
CANDY & SNACKS:GUM:ORBIT STRAWBERRY GUM 12CT,candy-snacks-gum-orbit-strawberry-gum-12ct,,13.99,12,candy-snacks-gum-orbit-strawberry-gum-12ct,,1E+11,,022000116185,0,5,0,1
CANDY & SNACKS:GUM:TRIDENT CINNAMON GUM 12CT,candy-snacks-gum-trident-cinnamon-gum-12ct,,9.99,8.5,candy-snacks-gum-trident-cinnamon-gum-12ct,,1E+11,,012546011464,0,5,0,1
CANDY & SNACKS:GUM:TRIDENT GUM 14 PC MINTY SWEET 12 CT,candy-snacks-gum-trident-gum-14-pc-minty-sweet-12-ct,,9.99,8,candy-snacks-gum-trident-gum-14-pc-minty-sweet-12-ct,,1E+11,,073390050351,21,5,0,1
CANDY & SNACKS:GUM:TRIDENT GUM 14 PC ORIGINAL 12 CT,candy-snacks-gum-trident-gum-14-pc-original-12-ct,,9.99,8,candy-snacks-gum-trident-gum-14-pc-original-12-ct,,1E+11,,012546011082,12,5,0,1
CANDY & SNACKS:GUM:TRIDENT GUM 14 PC PERFECT PEPPERMINT 12 CT,candy-snacks-gum-trident-gum-14-pc-perfect-peppermint-12-ct,,9.99,8,candy-snacks-gum-trident-gum-14-pc-perfect-peppermint-12-ct,,1E+11,,073390050276,8,5,0,1
CANDY & SNACKS:GUM:TRIDENT GUM 14 PC PINNEAPLE TWIST 12 CT,candy-snacks-gum-trident-gum-14-pc-pinneaple-twist-12-ct,,9.99,8,candy-snacks-gum-trident-gum-14-pc-pinneaple-twist-12-ct,,1E+11,,073390050368,12,5,0,1
CANDY & SNACKS:GUM:TRIDENT GUM 14 PC SPEARMINT 12 CT,candy-snacks-gum-trident-gum-14-pc-spearmint-12-ct,,9.99,8,candy-snacks-gum-trident-gum-14-pc-spearmint-12-ct,,1E+11,,073390050177,17,5,0,1
CANDY & SNACKS:GUM:TRIDENT GUM 14 PC TROPICAL TWIST 12 CT,candy-snacks-gum-trident-gum-14-pc-tropical-twist-12-ct,,9.99,8,candy-snacks-gum-trident-gum-14-pc-tropical-twist-12-ct,,1E+11,,073390050214,10,5,0,1
CANDY & SNACKS:GUM:TRIDENT GUM 14 PC WATERMELON TWIST 12 CT,candy-snacks-gum-trident-gum-14-pc-watermelon-twist-12-ct,,9.99,8,candy-snacks-gum-trident-gum-14-pc-watermelon-twist-12-ct,,1E+11,,012546011129,12,5,0,1
CANDY & SNACKS:GUM:TRIDENT GUM 14 PC WINTERGREEN 12 CT,candy-snacks-gum-trident-gum-14-pc-wintergreen-12-ct,,9.99,8,candy-snacks-gum-trident-gum-14-pc-wintergreen-12-ct,,1E+11,,073390050382,-1,5,0,1
CANDY & SNACKS:GUM:TRIDENT WHITE GUM WINTERGREEN 16PC 18/9,candy-snacks-gum-trident-white-gum-wintergreen-16pc-189,,9.99,7.5,candy-snacks-gum-trident-white-gum-wintergreen-16pc-189,,1E+11,,,0,5,0,1
CANDY & SNACKS:GUMMY:HERSHEYS DIPPED PRETZELS 4.25OZ 1CT,candy-snacks-gummy-hersheys-dipped-pretzels-425oz-1ct,,3.19,2.89,candy-snacks-gummy-hersheys-dipped-pretzels-425oz-1ct,,1E+11,,034000214600,-4,5,0,1
CANDY & SNACKS:GUMMY:WELCHS FUSIONS 2 IN 1 JUICY FUN 1 CT,candy-snacks-gummy-welchs-fusions-2-in-1-juicy-fun-1-ct,,1.99,1.89,candy-snacks-gummy-welchs-fusions-2-in-1-juicy-fun-1-ct,,1E+11,,034856040545,-17,5,0,1
CANDY & SNACKS:HARD CANDY:MIKE N IKE BERRY BLAST 3/0.99C 24 CT,candy-snacks-hard-candy-mike-n-ike-berry-blast-3099c-24-ct,,4.99,4.5,candy-snacks-hard-candy-mike-n-ike-berry-blast-3099c-24-ct,,1E+11,,070970485442,-1,5,0,1
CANDY & SNACKS:HARD CANDY:MIKE N IKE CHERRY 3/0.99C 24 CT,candy-snacks-hard-candy-mike-n-ike-cherry-3099c-24-ct,,4.99,4.5,candy-snacks-hard-candy-mike-n-ike-cherry-3099c-24-ct,,1E+11,,070970485466,0,5,0,1
CANDY & SNACKS:HARD CANDY:MIKE N IKE JOLLY JOES 3/0.99C 24 CT,candy-snacks-hard-candy-mike-n-ike-jolly-joes-3099c-24-ct,,4.99,4.5,candy-snacks-hard-candy-mike-n-ike-jolly-joes-3099c-24-ct,,1E+11,,070970485503,-2,5,0,1
CANDY & SNACKS:HARD CANDY:MIKE N IKE ORANGE 3/0.99C 24 CT,candy-snacks-hard-candy-mike-n-ike-orange-3099c-24-ct,,4.99,4.5,candy-snacks-hard-candy-mike-n-ike-orange-3099c-24-ct,,1E+11,,070970485497,-4,5,0,1
CANDY & SNACKS:HARD CANDY:MIKE N IKE ORIGINAL FRUITS 3/0.99C 24 CT,candy-snacks-hard-candy-mike-n-ike-original-fruits-3099c-24-ct,,4.99,4.5,candy-snacks-hard-candy-mike-n-ike-original-fruits-3099c-24-ct,,1E+11,,070970485435,-1,5,0,1
CANDY & SNACKS:HARD CANDY:MIKE N IKE SOUR LEMON 3/0.99C 24 CT,candy-snacks-hard-candy-mike-n-ike-sour-lemon-3099c-24-ct,,4.99,4.5,candy-snacks-hard-candy-mike-n-ike-sour-lemon-3099c-24-ct,,1E+11,,070970485480,-5,5,0,1
CANDY & SNACKS:HARD CANDY:MIKE N IKE TROPICAL 3/0.99C 24 CT,candy-snacks-hard-candy-mike-n-ike-tropical-3099c-24-ct,,4.99,4.5,candy-snacks-hard-candy-mike-n-ike-tropical-3099c-24-ct,,1E+11,,070970485459,-1,5,0,1
CANDY & SNACKS:HARD CANDY:TIC TAC BIG 100 MINTS FRUIT ADVENTURE 12CT,candy-snacks-hard-candy-tic-tac-big-100-mints-fruit-adventure-12ct,,20.99,18.25,candy-snacks-hard-candy-tic-tac-big-100-mints-fruit-adventure-12ct,,1E+11,,009800053872,0,5,0,1
CANDY & SNACKS:HARD CANDY:TIC TAC BIG 100 PCS FFRESHMINT 12CT,candy-snacks-hard-candy-tic-tac-big-100-pcs-ffreshmint-12ct,,20.99,18.25,candy-snacks-hard-candy-tic-tac-big-100-pcs-ffreshmint-12ct,,1E+11,,009800053841,-2,5,0,1
CANDY & SNACKS:HARD CANDY:TIC TAC BIG 100 PCS ORANGE 12CT,candy-snacks-hard-candy-tic-tac-big-100-pcs-orange-12ct,,20.99,0,candy-snacks-hard-candy-tic-tac-big-100-pcs-orange-12ct,,1E+11,,009800053858,-2,5,0,1
CANDY & SNACKS:HARD CANDY:TIC TAC BIG 100 PCS STRAWBERRY & CREAM 12CT,candy-snacks-hard-candy-tic-tac-big-100-pcs-strawberry-cream-12ct,,20.99,0,candy-snacks-hard-candy-tic-tac-big-100-pcs-strawberry-cream-12ct,,1E+11,,009800053896,0,5,0,1
CANDY & SNACKS:MIKE N SOUR BLUE RASPBERRY 3/0.99 24CT,candy-snacks-mike-n-sour-blue-raspberry-3099-24ct,,4.99,0,candy-snacks-mike-n-sour-blue-raspberry-3099-24ct,,1E+11,,070970485527,-1,5,0,1
CANDY & SNACKS:MIKE N SOUR WATERMELON 3/0.99 24CT,candy-snacks-mike-n-sour-watermelon-3099-24ct,,4.99,0,candy-snacks-mike-n-sour-watermelon-3099-24ct,,1E+11,,070970485473,-1,5,0,1
CANDY & SNACKS:SKITTLES ORIGINAL CANDY 2.17 OZ 36 CT,candy-snacks-skittles-original-candy-217-oz-36-ct,,34.99,30,candy-snacks-skittles-original-candy-217-oz-36-ct,,1E+11,,040000011606,10,5,0,1
CANDY & SNACKS:TIC TAC BIG 100 PCS TROPICAL ADVENTURE 12CT,candy-snacks-tic-tac-big-100-pcs-tropical-adventure-12ct,,20.99,18.25,candy-snacks-tic-tac-big-100-pcs-tropical-adventure-12ct,,1E+11,,009800053889,0,5,0,1
CANDY & SNACKS:TIC TAC BIG 100 PCS WINTERGREEN 12CT,candy-snacks-tic-tac-big-100-pcs-wintergreen-12ct,,20.99,18.25,candy-snacks-tic-tac-big-100-pcs-wintergreen-12ct,,1E+11,,009800053865,-1,5,0,1
CANDY & SNACKS:TIC TAC ORANGE 12CT,candy-snacks-tic-tac-orange-12ct,,12.99,11.25,candy-snacks-tic-tac-orange-12ct,,1E+11,,009800057733,0,5,0,1
CANDY & SNACKS:TOP RAMEN CHILI 24CT,candy-snacks-top-ramen-chili-24ct,,11.49,9.27,candy-snacks-top-ramen-chili-24ct,,1E+11,,00070662013175,-3,5,0,1
CANDY & SNACKS:TRIDENT MINT BLAST GUM 12CT,candy-snacks-trident-mint-blast-gum-12ct,,9.99,8.5,candy-snacks-trident-mint-blast-gum-12ct,,1E+11,,012546011488,0,5,0,1
CANDY & SNACKS:TWIX COOKIE DOUGH 20 CT,candy-snacks-twix-cookie-dough-20-ct,,26.99,22,candy-snacks-twix-cookie-dough-20-ct,,1E+11,,040000583523,0,5,0,1
CANDY & SNACKS:UNCLE WALLYS MUFFINS 20 TWIN PACKS BLUEBERRY,candy-snacks-uncle-wallys-muffins-20-twin-packs-blueberry,,15.99,13.48,candy-snacks-uncle-wallys-muffins-20-twin-packs-blueberry,,1E+11,,7.59313E+11,0,5,0,1
CANDY & SNACKS:WINTERFRESH GUM 10CT,candy-snacks-winterfresh-gum-10ct,,11.99,9.9,candy-snacks-winterfresh-gum-10ct,,1E+11,,022000107008,-2,5,0,1
CANDY & SNACKS:WRIGLEY SPEARMINT 5 STICK 40CT,candy-snacks-wrigley-spearmint-5-stick-40ct,,11.99,9,candy-snacks-wrigley-spearmint-5-stick-40ct,,1E+11,,022000293312,-3,5,0,1
CANDY & SNACKS:YORK 36 CT,candy-snacks-york-36-ct,,26.99,22,candy-snacks-york-36-ct,,1E+11,,034000903306,0,5,0,1
CANDY HUBBA BUBBLE TAPE ORIGINAL 6CT,candy-hubba-bubble-tape-original-6ct,,6.99,5.9,general-general,,1E+11,,022000121134,0,5,0,1
CANDY LAFFY TAFFY BANANA 24CT,candy-laffy-taffy-banana-24ct,,7.99,6.8,general-general,,1E+11,,0079200534318,0,5,0,1
CANDY LAFFY TAFFY MYSTERY SWIRL 24CT,candy-laffy-taffy-mystery-swirl-24ct,,7.99,6.8,general-general,,1E+11,,079200269272,0,5,0,1
